taxonid,taxoncode,taxonname,author,ecolgroup,highertaxonid,status,taxagroupid,publicationid,uncertaintytype,certainty_level_conservative,certainty_level_permissive,taxonname_updated,taxonname_updated_original,MDD_species,MDD_species_id,MDD_normalized_original_combination,MDD_validity,sciName,subclass,infraclass,magnorder,superorder,order,suborder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet
7681,Mms.cf.pr,Mammuthus cf. M. primigenius,"(Blumenbach, 1799)",PROB,6847,extinct,MAM,1602,cf,genus,species,Mammuthus primigenius,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6178,Mms.pr,Mammuthus primigenius,"(Blumenbach, 1799)",PROB,6847,extinct,MAM,1602,NA,NA,NA,Mammuthus primigenius,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13580,cf.Mms.pr,cf. Mammuthus primigenius,"(Blumenbach, 1799)",PROB,19273,extinct,MAM,1602,cf,genus,species,Mammuthus primigenius,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13722,?Mmtdae,?Mammutidae,"Hay, 1922",PROB,19273,extinct,MAM,1599,?,order,family,Mammutidae,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6181,Mmtdae,Mammutidae,"Hay, 1922",PROB,6360,extinct,MAM,1599,NA,NA,NA,Mammutidae,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42908,Mam.lo,Marmosa lorenzoi,"Álvarez & Arroyo-Cabrales, 1989",DIDE,41961,extant,MAM,16815,NA,NA,NA,Marmosa lorenzoi,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10108,Mar.mi,Marmota minor,"Kellogg, 1910",RODE,6849,extinct,MAM,5080,NA,NA,NA,Marmota minor,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15260,[Mar.ne],Marmota nevadensis,"Kellogg, 1910",NA,NA,extinct,MAM,5081,NA,NA,NA,Marmota nevadensis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15261,[Mar.sa],Marmota sawrockensis,"Hibbard, 1964",NA,NA,extinct,MAM,5082,NA,NA,NA,Marmota sawrockensis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28009,Marini,Marmotini,"Pocock, 1923",RODE,13873,extant,MAM,1530,NA,NA,NA,Marmotini,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6167,Msplia,Marsupialia,NA,MAMM,6171,extant,MAM,1574,NA,NA,NA,Marsupialia,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24723,[Mts.am.cf.am.no],Martes americana cf. M. americana nobilis,"(Hall, 1926)",NA,NA,extinct,MAM,7975,cf,species,subspecies,Martes americana nobilis,Martes americana americana nobilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13696,Mts.di,Martes diluviana,"Cope, 1889",CARN,6848,extinct,MAM,1541,NA,NA,NA,Martes diluviana,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13697,Mts.fx,Martes foxi,"Hibbard & Riggs, 1949",CARN,6848,extinct,MAM,6009,NA,NA,NA,Martes foxi,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35630,[Mts.pa],Martes parapennanti,"Gidley & Gazin, 1938",NA,NA,extinct,MAM,1541,NA,NA,NA,Martes parapennanti,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7006,Mgc,Megacamelus,"Frick, 1929",ARTI,5902,extinct,MAM,1561,NA,NA,NA,Megacamelus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
